fas4,lifesat,wemwbs,sebdtot,physact60,schoolid_anonymous,genid_sab6,meanpsychcomplfreq,dailyfruitveg,pastmonthcann,drink2bin,weeklysmoker,vigpaguidance,age1,ethnic2,bullyvictim
11,5,19,17,4,183,2,3,1,0,0,0,1,13,0,1
9,5,29,NA,5,183,1,1,1,0,0,0,1,13,0,0
10,7,NA,20,5,183,2,3.25,0,0,0,0,0,13,0,0
5,9,NA,19,2,183,2,2.5,0,0,0,0,0,12,0,0
8,7,19,10,3,183,NA,NA,0,0,0,0,0,13,0,0
8,8,28,NA,5,183,1,1.75,0,0,0,0,1,12,1,0
NA,8,NA,5,7,183,1,NA,0,0,0,0,1,12,0,0
9,NA,NA,NA,NA,133,8,4.25,NA,0,NA,0,NA,13,0,NA
11,8,NA,NA,6,183,2,2.75,1,0,1,0,1,12,0,1
8,8,23,18,5,183,2,1.5,0,0,0,0,0,12,0,0
12,10,NA,16,7,183,2,2.5,0,0,1,0,1,12,0,0
7,8,23,15,3,183,2,2.75,NA,0,1,1,1,13,0,0
11,5,21,10,4,153,2,3,0,0,0,0,0,16,0,0
8,10,33,3,3,153,1,2.25,0,0,0,0,1,15,0,0
8,7,18,11,NA,183,2,4,0,0,0,0,1,12,0,0
9,10,18,12,3,183,2,2.75,0,0,0,0,1,12,0,1
NA,8,27,NA,1,153,1,3,0,0,0,0,0,15,0,NA
10,5,27,20,6,183,1,1,0,0,0,0,1,13,0,0
11,5,19,7,4,153,2,3,0,0,1,0,1,16,0,0
12,7,22,6,5,153,2,3.5,0,0,1,0,0,16,0,0
8,8,24,14,3,156,2,2.5,0,0,0,0,0,11,0,1
7,10,30,NA,7,156,1,2.75,0,0,0,0,1,11,0,NA
NA,6,20,7,5,156,2,2.75,0,0,0,0,1,12,0,0
NA,9,NA,10,5,156,1,1.5,0,0,0,0,1,11,0,NA
9,6,19,23,3,156,NA,4.75,0,0,0,0,0,11,0,0
NA,7,18,22,4,156,2,3,0,0,0,0,0,11,0,1
8,8,31,13,6,156,1,1.5,0,0,0,0,1,11,0,0
NA,8,NA,4,NA,156,2,2.25,0,0,0,0,0,11,0,0
6,NA,13,33,3,156,2,4.75,1,0,0,0,1,12,0,1
6,9,NA,NA,3,156,2,1.25,0,0,0,0,0,12,1,1
10,10,22,16,6,156,1,3.25,1,0,0,0,1,11,0,1
8,10,27,NA,7,156,1,1.25,1,0,0,0,1,11,0,NA
11,10,28,12,5,156,1,3.75,0,0,0,0,1,12,0,1
NA,NA,NA,17,7,156,NA,NA,0,0,0,0,1,NA,1,1
7,5,20,7,2,156,1,1.5,0,0,0,0,0,12,0,0
NA,3,15,19,5,156,2,4.25,1,0,0,0,1,11,1,1
6,10,25,9,7,156,2,3,0,0,0,0,1,11,0,1
6,9,29,17,3,156,1,2.5,0,0,0,0,1,12,0,1
9,3,8,32,4,156,2,4.25,0,1,1,1,0,11,0,1
10,5,NA,25,5,156,2,5,0,0,1,0,1,11,0,0
